State;County;TxMalad;DecesTx;MedAge;naissance;assurPub;PctAfro
Michigan;Leelanau;372,9;132,5;52,3;5,887253541;13,9;0,453703953980383
North Dakota;Sheridan;374,8;124,8;52,05;4,95049505;23,3;0
Pennsylvania;Washington;482,5;186,3;44,05;4,918324654;13,3;1,37302633840338
Arizona;Maricopa;401,4;146,6;35,65;5,392191187;19,8;1,82793768222584
North Carolina;Hertford;434,1;184,3;41,5;5,896994065;27;4,08340178246773
California;Santa;420;135;36,85;5,541784514;14,2;1,27703240222021
Alabama;Wilcox;500,5;221,7;39,85;4,996127033;35;4,29080078178916
New Mexico;Catron;375,5;164,7;57,1;0,689655172;13,1;0,512721676321749
Georgia;Pickens;512,6;176,4;44,85;5,382482466;15,8;0,894398498519135
Minnesota;Lincoln;453,5494221;146,8;46,75;5,539070228;12,2;0,321204764644271
Nevada;White;453,5494221;188,4;39,35;5,470459519;13,7;1,64303596242447
Virginia;Falls;447,7;137,6;37,85;3,066180935;2,7;1,13992709837501
Tennessee;Haywood;457,4;183,7;39,35;4,488542405;26,4;3,91884753903358
West Virginia;Pocahontas;384,8;176,8;48,45;4,256631709;23;0,909576277493056
Texas;Hansford;448;129,1;36,4;6,825657895;16,1;0,118602191612069
Minnesota;Nobles;453,5494221;138,1;36,6;7,86717183;18,1;1,60622345579961
Mississippi;Bolivar;476,3;241,9;34,6;4,919773478;32,4;4,17502788173697
New Mexico;Roosevelt;360,7;163,5;29,4;4,392712551;25,2;1,25175784238246
Oklahoma;Muskogee;483,4;211,7;37,7;6,694613026;23,2;2,49192608166403
Wisconsin;Sawyer;483,8;208,5;49,35;4,272316777;27,4;0,525687637482352
Ohio;Lucas;370,7;196,2;37,75;5,157532738;22,4;2,9875895014867
Florida;Hillsborough;474,5;168,9;36,55;4,752577535;19,7;2,86988663712095
Arizona;Yuma;343;126,8;34,05;6,284513403;26,3;1,13730794733774
Nebraska;Lancaster;425,9;153,5;32,95;6,17570233;11,7;1,60949158779355
Missouri;Howard;398,7;150;38,85;6,633574007;18,1;1,81745286964368
Iowa;Woodbury;469,7;176,4;35,35;6,360617144;19,2;1,33272957648219
Montana;Phillips;456,8;151,2;47,35;9,448818898;13,6;0
Pennsylvania;Beaver;476,1;180,2;44,75;4,491424455;16,8;1,95444747076568
New Jersey;Hunterdon;496,3;145,1;44,8;4,22223833;7,1;1,27574991513884
New Jersey;Middlesex;466,7;156,7;37,75;5,074989438;12,1;2,38352605281061
Nevada;Lyon;453,5494221;195,7;43,25;4,62962963;19,1;0,661114309743152
New Mexico;Grant;366,5;159,4;46,35;5,998550199;30,3;0,48973874874861
California;Inyo;408,4;138,1;46,1;4,535082715;18,5;0,725993185191806
Florida;Wakulla;456,7;209,3;39,9;2,534634761;17,7;2,80183277046118
Nebraska;Washington;431,4;159,2;41,25;5,725611099;8,3;0,516594605544679
Kentucky;Mercer;536,1;206,3;42,7;5,675616678;20,6;1,561763234948
Oregon;Lane;418,7;169,1;39,3;4,213583027;19,8;0,734620953666382
Florida;Hardee;422,3;161,9;34,8;6,773043626;34,9;2,19339868303839
Michigan;Bay;448,2;182,3;42,35;5,244463933;18,7;0,855840887308287
Indiana;Monroe;428,7;168,5;28,45;3,932688732;11;1,36820384273344
West Virginia;Mineral;456,6;198,4;43,25;7,391231312;23,3;1,42199427077175
Kentucky;Garrard;516,6;204,6;42,05;5,567338282;21,9;0,820829739618204
Minnesota;Scott;453,5494221;153,9;35,55;6,064705544;8;1,37150101287461
Illinois;LaSalle;519,9;191,3;41,75;4,843425569;19,4;1,24141147134702
New York;Tioga;503,6;160,5;43,25;6,184505988;16,5;0,560193321702115
South Carolina;Darlington;451,3;206,8;40,6;6,092582124;24,6;3,72865452415996
Georgia;Oglethorpe;455,9;150,6;42,35;6,672760512;20;2,84472886869032
North Carolina;Scotland;487,8;189,6;38,85;6,79431748;32,2;3,67511488965143
North Carolina;Davie;491,1;169,3;43,9;5,784848148;17,9;2,03020899801252
Texas;Presidio;211,1;66,3;40,6;6,324110672;22,7;0,0135982512716362
Arkansas;Greene;414,1;194,5;38,3;5,73167141;23,6;0,650986369912701
Georgia;Douglas;462,3;175,3;35,7;6,214984071;16,1;3,75272530032949
Texas;Lynn;303;154,4;37,65;3,301127214;24,4;0,802801034437395
Kentucky;Breckinridge;490;199,5;42,45;7,765151515;21,1;1,20084244255201
Oklahoma;Cimarron;456,9;258,7;44,9;2,195121951;20,5;0,193577913961306
Louisiana;Terrebonne;493,1;213,2;35,2;5,230870955;20,1;2,97217459614347
Massachusetts;Bristol;496,2;173,9;40,5;4,63936694;21,9;1,5472841389109
Colorado;Yuma;427,2;184,3;36,2;4,737575476;21,3;0,787475042138573
Illinois;Champaign;450,2;152,5;29,45;3,467190704;13,5;2,60919334259529
Illinois;Tazewell;511,5;192,2;40,4;5,692199578;14,8;0,798667229991582
Iowa;Iowa;463,3;163,4;42,4;5,613126079;11,9;0,608802116342528
Arkansas;Randolph;425,6;212,5;42,4;7,27081138;27,8;0,527748587042085
Kansas;Gove;453,5494221;136,2;47,7;8,951965066;12,6;0,686728084676229
Texas;Nacogdoches;443,5;185,9;30,05;4,912890034;17,2;2,96198725566074
Oregon;Douglas;419,4;189,2;46,95;5,54304604;26,6;0,275494554450591
Texas;Cooke;428,1;169,2;39,7;7,427277062;16,8;1,23113593272624
Ohio;Ashland;426;189,4;39,95;5,646027941;15,4;0,607937355255668
South Carolina;Richland;455,7;184,8;32,85;4,618133504;16,4;3,84708676318335
Wyoming;Uinta;359,3;132,8;34,5;6,918371652;13;0,178891568604232
Texas;Hardeman;410,4;142,3;42,35;11,03752759;20,2;2,2918057612856
Colorado;Douglas;424;128,4;37,55;4,964771639;5,6;0,732474512067749
Nebraska;Boyd;384,9;135,2;50,8;9,17721519;16,1;0,606358704180674
Virginia;Waynesboro;596,9;210,5;39;7,446377985;20,1;2,62047988830069
Illinois;McHenry;474,4;181,4;39,2;4,286141792;12,5;0,852708252782712
Tennessee;Jefferson;484;185,3;42,65;4,075765263;21,1;1,26989753323341
Missouri;Sullivan;425,4;196,5;41,75;10,31227306;17,9;0,628772446008619
Kansas;Smith;453,5494221;157,6;50,6;8,463949843;15,4;0,35614004180409
North Dakota;Rolette;474,1;216,9;29,95;6,726726727;29,2;0,430486279400141
Montana;Carbon;411,7;129,1;49,1;5,364583333;14,5;0,00969187666468228
South Dakota;Davison;476,9;151,2;38,2;5,713596914;11,1;0,392118575391312
Massachusetts;Norfolk;494,7;160,9;40,9;4,696647392;12,1;1,98273357989578
Texas;Robertson;419,5;169;41,3;4,658564815;22;3,07644106595922
Alabama;Choctaw;398,5;137,6;45,45;4,317548747;24,2;3,79114728640284
Texas;Mitchell;434;211,8;37,6;2,90368272;13;2,4825499282334
North Carolina;Brunswick;419,2;169,2;49,85;6,292374849;20,2;2,46839131771143
Georgia;Chatham;455,8;168,8;34,3;5,771170399;16,4;3,6997664820205
Mississippi;Wayne;431,7;209,4;36,75;8,771929825;29,7;3,68827627673903
Missouri;Moniteau;409,2;179,9;37,95;6,768874747;14,7;1,58892647134076
Kansas;Marion;453,5494221;143,8;44,85;6,021594684;15,3;0,595352223752539
Indiana;Hancock;456,4;184,8;40,3;4,243248035;9;1,09413465534679
New Hampshire;Coos;459,2;181,6;48,1;5,975049245;22,5;1,00619510660743
New York;St.;498,7;183,7;37,7;5,011933174;20,5;1,17003430969201
Illinois;Johnson;489,6;175,2;43,75;4,476930105;20,4;2,28876329765496
Ohio;Pickaway;460,5;197,4;38,95;5,002432301;17,1;1,4470282659059
Kentucky;Hopkins;492,4;196,7;40,75;4,65182921;18,8;1,93786871478635
Texas;Throckmorton;441,6;200,7;49,75;7,986111111;20,1;0,177455366907009
Idaho;Madison;376,2;125,2;23,05;6,963315217;13,5;0,526879213961353
Tennessee;Putnam;442,4;189,2;36,15;3,640481715;21,1;1,22678340753493
Delaware;Sussex;493,3;168,7;46,85;5,256787135;23,1;2,61470372696524
Idaho;Ada;469;151,6;35,8;4,783515756;11,1;0,75873178342569
Indiana;Pulaski;463,7;183,2;41,9;1,880766501;19,3;0,378351386898217
Vermont;Chittenden;463,7;159;36,55;4,180500351;15,6;1,21877896770657
Texas;Fort;399;133,4;35,45;5,338507619;9,8;3,08395748092836
Ohio;Harrison;445,5;201,4;45,75;7,156549521;19,3;1,13079733510233
Kentucky;Clark;522,6;210,6;41,3;4,293271005;20,9;1,83258482918265
Texas;Floyd;376,7;173,5;37,3;4,490106545;25,2;1,36857599587971
Iowa;Sac;456,2;174,1;46,45;8,116710875;13,3;0,532333092875517
Wisconsin;Vilas;572,8;177;52,6;4,69334869;22,5;0,335066425360023
Oklahoma;Pittsburg;418,2;195,8;40,8;5,344522968;20;1,47007690388423
Michigan;Iron;344,3;167,6;53,45;4,683342203;19,7;0,408155498427016
Louisiana;West;526,7;182,8;35,65;5,538105472;17,1;3,65874594976777
Nevada;Elko;453,5494221;143,2;33,5;6,700733537;10;0,828424943142383
Florida;Osceola;407,5;155,6;35,7;5,718663568;23,1;2,51129183242524
Minnesota;Pine;453,5494221;161,7;43,8;4,865649964;19,5;1,14175071658372
Georgia;Seminole;446,2;180,1;45,05;2,387267905;25,7;3,54075601815468
Indiana;Blackford;486,2;189,1;43,8;6,987761548;19,8;0,455592819901503
Illinois;Perry;498,3;174,6;41,2;3,072371416;19,6;2,27473642786011
Maryland;Garrett;417,1;154,8;44,2;6,553245117;23,2;0,472353029118263
Indiana;Madison;468,7;195,2;39,9;4,977235099;19,3;2,17911737008956
Alabama;Pike;455,1;183,3;31,45;6,44886666;19;3,66866058875771
Mississippi;Clay;427,7;187,5;38,5;3,726061615;27,4;4,08147298559396
South Carolina;Dillon;425,3;204,7;37,3;5,525568182;32,1;3,86372055442731
Missouri;Montgomery;510;176,9;43,55;4,500642949;20,3;0,860893648662675
Tennessee;Claiborne;515;218,3;41,85;3,502840141;23,6;0,718831873558697
Texas;Crosby;334,7;174,1;38;4,238618524;28,3;1,58490093941626
Nebraska;Wayne;392;142,1;29,7;5,981533521;9,1;1,46837538985104
Kentucky;McCracken;484,1;168,9;42,45;5,282054823;21,1;2,46484683447182
Ohio;Mercer;443,1;181,9;40,2;6,325515281;12,1;0,361584196116585
Kentucky;Oldham;519,6;163,6;39,55;4,704009263;8,5;1,65305600063849
Tennessee;Robertson;496,6;187,2;38,35;5,976467659;17;2,143732306855
Iowa;Greene;506,1;186,9;45,2;9,971346705;17,6;0,0530684781660635
New York;Nassau;514,3;145,8;41,3;4,449778611;11,3;2,51706659766851
Nebraska;Dawes;370;155,4;33,85;7,437661221;10,8;0,422252767501889
West Virginia;Logan;523,9;240,1;42,8;4,195713917;25,8;1,16077102285766
Nevada;Churchill;453,5494221;211;38,95;7,724034496;17,3;1,21519118601123
Colorado;Boulder;409,9;124,1;35,75;4,171506363;11,8;0,644009572588905
Utah;Weber;417,9;134,2;31,8;7,55683473;11,9;0,748994530775897
Virginia;Nottoway;508;201,5;42,45;7,331771008;24,5;3,70273973682628
Idaho;Bannock;378,7;151,5;32,65;5,416377859;13,8;0,558227331332656
New Jersey;Union;463;155,6;38;5,746896424;17,1;3,10490964693394
Illinois;Fayette;480,9;165,9;40,35;6,596537366;24,5;1,65064436500889
Texas;Parmer;387,8;142,1;32,75;7,023108292;19,4;0,981828353869205
Vermont;Orleans;438,8;172;44,75;4,689807976;32,5;0,413463683379742
Georgia;Pike;472;224,3;39,1;3,422926717;15,5;2,50742608159242
Florida;Washington;356,3;209,1;41,3;5,908289242;27;2,78335368653554
Washington;King;464,2;152,7;37,2;5,202119227;12,7;1,97387141030417
Missouri;Livingston;470,4;203,2;42;7,023060797;15,6;1,28260922761417
Wisconsin;Menominee;478,4;228,8;30,9;10,89005236;33;0,355483490640057
Michigan;Midland;438,7;154,4;41,05;5,762837089;13,4;0,86759718615701
North Carolina;Forsyth;490,7;179,9;37,7;4,481749235;18,5;3,29537759166513
North Carolina;Martin;491,5;177;45,2;3,58004827;22,7;3,79689784037728
Ohio;Vinton;456,6;184,3;41,05;8,863399374;27,4;0,358169971827405
Wisconsin;Grant;428,2;166,9;36,45;5,174434328;13,9;0,83429554097852
Ohio;Scioto;503;203;39,3;4,764332654;29;1,29105051094071
Mississippi;Clarke;466,5;191,4;41,5;6,761177754;25,7;3,58424868351629
Texas;Bailey;334,4;110,4;35,1;2,595628415;21,6;1,11935185239244
Wyoming;Sweetwater;403,5;141,1;33,65;8,929775551;11,3;0,624125591874945
Florida;Leon;390,5;155,8;29,9;3,782242355;12,8;3,46969972646056
California;San;434,9;157,1;35,1;4,953958986;16,8;1,80266849846884
South Carolina;Calhoun;468;150,9;45,35;5,434122647;18,9;3,77058389856858
South Dakota;Charles;464,7;181,9;37,25;6,866002215;20,6;0,0423837142409334
Kansas;Ellsworth;453,5494221;149,6;44,95;7,773512476;13,2;1,57645046215076
Kansas;Morris;453,5494221;193,4;48,05;5,611775529;11,6;0,145416999745722
Texas;Goliad;435;139,8;45,7;5,702647658;15,4;1,8891939196559
Mississippi;Perry;492,4;202,6;40,35;4,821037253;24,1;3,10538446104977
California;San;433;150,4;34,95;6,536926148;20,5;0,576667436999343
Alabama;Perry;555,6;230,7;36,9;4,552845528;30,2;4,23456263779907
New York;Greene;505,7;187,3;45,05;4,626911005;17,9;1,99418989441179
Tennessee;Lauderdale;484,4;218,3;37,25;5,484147386;29,6;3,5861032734062
Tennessee;Weakley;443,1;205,4;37,25;5,005740528;17,8;2,31289066292056
Michigan;Antrim;422,1;167,7;49,4;3,888098625;21,8;0,279406639314013
North Dakota;Nelson;436;205,3;52,9;10,42553191;12,9;0,866239930956013
Alabama;Chilton;445,2;195,9;38,6;5,95355245;20,4;2,42775561915609
Idaho;Washington;481;173,6;44,6;8,792924037;21,4;0
Kentucky;Lincoln;523,1;199,1;40,5;7,499096494;25,6;1,30341577238409
Kentucky;Estill;549,3;258,6;42,9;4,634920635;31,1;0,129412671199359
Illinois;Calhoun;493;152,3;46,95;6,910994764;22,7;0,113350118113033
Pennsylvania;Bedford;479,9;151,2;45,2;4,585306863;15,3;0,450049725157799
West Virginia;Pendleton;381,8;139,8;48,85;7,611940299;24,1;1,31613799982682
Oklahoma;Grady;416,7;193,7;38,45;4,518903132;17;1,13449484920494
Tennessee;Franklin;465,4;180,5;41,1;5,292111343;20,9;1,42436864910966
Missouri;Newton;296;185,9;39,65;4,480398258;15,7;0,681364268399927
Michigan;Monroe;371;182,8;41,8;6,102216567;14;1,20074230016183
Ohio;Gallia;456,2;201;40,85;4,807405196;24,7;1,28212367844109
Illinois;Scott;459,2;169,5;43,5;3,388278388;21,4;0
North Carolina;Edgecombe;446,1;192,1;39,7;5,053375317;27,6;4,05130663551718
Kentucky;Grayson;544,2;230,6;39,8;4,790003471;24,5;0,767234548965697
West Virginia;Lincoln;513,2;226,9;42,1;2,635983264;31,6;0,390511558329367
Texas;Childress;441,6;192,3;34,45;12,14642263;18,6;2,36397107252765
Iowa;Wapello;516,3;182,7;39,8;6,180279523;18,9;1,11888767249796
Wisconsin;Iowa;424,1;157;42,75;5,031948882;15,3;0,345220811708848
Michigan;Gratiot;447,1;168,3;39,45;3,748722027;19,5;1,89242153905566
Missouri;Lewis;463,2;212;39,45;5,366726297;15,3;1,38590104753224
Mississippi;Winston;474,4;181,7;40,1;5,112672644;25;3,88573734522597
Louisiana;Lincoln;436,3;205,7;27,4;4,279213153;17,9;3,73524847611123
Minnesota;Wright;453,5494221;165,2;35,65;6,296560212;12,1;0,699765169283676
Kentucky;Caldwell;525;224,7;42,6;7,912885662;24,2;1,92046153134364
California;Stanislaus;433,4;164,9;33,55;6,025884863;27,7;1,31324530039075
Wisconsin;Bayfield;369,9;171,7;50,8;5,547054323;21;0,509495836190281
Illinois;Macoupin;495,6;185,1;42,65;5,090116855;18,7;0,521915808303405
Indiana;Huntington;466,3;195,8;39,85;7,373761208;15,3;0,555775700227397
Kentucky;Pendleton;497,1;188,1;41,45;5,568862275;21,2;0,45226068186434
Illinois;Monroe;487,6;153,4;41,85;5,213333333;11,3;0,292597074018429
Illinois;Edgar;461,5;177;43,5;6,41025641;21,1;0,438412694614843
Colorado;San;358,5;97,9;40,75;4,135338346;12,6;0,210663708212715
Kansas;Allen;453,5494221;196,4;41,65;8,708822416;19,6;0,995014157246604
North Carolina;Sampson;454,3;183,6;39,15;5,0513461;25,6;3,28511139283189
Georgia;Walker;420,9;212,7;40,75;6,366601435;20,5;1,7198570037964
Kentucky;Lawrence;524,8;269,2;40,15;3,753424658;26,5;0,141236603223832
South Carolina;Edgefield;399,8;157,8;42,3;3,616566206;19,2;3,62785223021728
Virginia;Roanoke;400,5;155,9;43,65;5,404491669;12,8;1,91853681497896
Washington;Grant;417,9;173,1;32,2;6,92564347;29,2;0,541121246527448
Michigan;Houghton;373,8;155,4;33,4;5,373953975;16,7;0,555006944657726
Illinois;Mercer;460;179,9;44,2;4,061068702;14,2;0,386516403316363
Oklahoma;Pushmataha;354,7;226,4;44,7;5,050505051;26,7;0,789622805060602
Alaska;Sitka;298,1;150,1;38,9;3,141875307;12,1;0,73459963709725
South Carolina;Chester;492,8;215,6;41,25;6,686006354;26,7;3,67388243792972
Illinois;Rock;478,1;176,2;40,1;5,929944203;20,1;2,34655551580035
Iowa;Winnebago;446,6;163,3;43,65;10,56949807;11,1;0,654047055375643
New Mexico;Sandoval;395,4;135,7;38,85;5,497053425;21,1;1,29814862198473
West Virginia;Preston;435,3;169,8;41,95;4,038301415;21,1;1,60388553929971
Kentucky;Barren;502,2;192;40,5;5,4866708;22,7;1,65051613511712
Arkansas;Calhoun;364,5;202,4;43,85;3,101503759;22,3;3,14300932272966
Colorado;Morgan;408;162;36,45;5,340817963;21,9;1,28354180178573
Nebraska;Dawson;409;139,7;36,35;8,05433327;16,5;1,73370616791926
Texas;Harrison;429,7;176,3;37,6;5,790913336;17,9;3,12080573822231
Georgia;Chattooga;471,1;203,9;40,3;4,430147059;26,5;2,46202830150773
Kentucky;Campbell;518,7;198,6;37,2;4,943288381;14,9;1,43789165423265
North Carolina;Beaufort;524,2;194;44,7;4,17432129;21,9;3,31191533665603
Ohio;Lake;483,8;182,5;43,15;4,694264339;13,6;1,5480104060546
Georgia;Troup;483,7;186;35,85;6,920828113;18,8;3,56711175795055
Minnesota;Swift;453,5494221;162,3;44,65;9,56284153;19,8;0,969943445521699
North Carolina;Yancey;512,6;178,6;46,4;3,944716384;22,7;0,777428180585552
Texas;Walker;472,7;164,6;33,65;3,854536397;12,8;3,16529793034695
Wyoming;Crook;280,9;152,2;43,7;5,333333333;12,6;0,177027909299759
Washington;Thurston;495,9;169,9;38,5;5,180155167;13,7;1,34543933845005
Colorado;Conejos;326,6;138,1;38,55;7,34055355;30,1;0,0925622732194324
Idaho;Nez;466,9;180,1;41,35;6,338028169;14,9;0,330861325573608
South Dakota;Fall;515,1;187,8;52,45;6,16375345;17,6;0,75586497486743
Indiana;Jasper;474,1;204,7;38,85;6,211096076;14,6;0,552999490718799
Oklahoma;Logan;438,5;160,2;38,65;4,945382324;17,4;2,31367790324624
Idaho;Canyon;458,6;154,8;32,8;6,940188877;21,5;0,365601856624669
Montana;Toole;475,5;174,2;42,75;6,557377049;16,8;0,144394505033154
Pennsylvania;Clinton;486;196,6;38,05;4,785376874;17,4;0,916078662989138
South Dakota;Lawrence;383,6;161,8;41,5;3,67487328;12;0,415624993900852
Texas;Brewster;387,7;160,4;42,1;1,812688822;13;0,8466789050167
Florida;Orange;440,7;161,7;34,35;4,907650931;17,6;3,08233494507659
Indiana;Carroll;414,4;166,3;41,6;5,682622023;11,9;0,292492110150249
Texas;Potter;461,8;185,1;33,2;7,014170761;20,8;2,34697232121302
Georgia;Hall;482,4;153,5;35,5;6,393153226;17,1;2,14551680267762
North Dakota;Griggs;535,5;232,3;52,35;7,692307692;7,4;0,808781064443204
Idaho;Twin;471,4;165,4;34,45;8,551754776;16,5;0,41043581763675
North Carolina;Craven;457,8;181,1;35,75;6,903026781;16;3,12482287262201
Louisiana;Caldwell;467,6;200,1;40,15;2,079107505;23,2;2,92141637970913
Minnesota;Yellow;453,5494221;151,9;42,9;7,744282744;15,3;0,375560096856529
Kentucky;Jessamine;500,6;186,9;36,95;5,553303608;19,1;1,52570722779261
Texas;Hopkins;409,9;181,2;39;7,914410931;19,9;2,05848064815974
Oregon;Wheeler;375;144,6;56,8;1,754385965;11,9;0
Utah;Washington;408,4;124,8;34,65;6,593968853;17;0,491085917818221
Texas;Wood;417;167,6;48,45;6,943899568;17,3;1,7553617638893
Kentucky;Marshall;496,5;185,3;44,9;4,006754682;20,7;0,3552531965347
Michigan;Tuscola;459;181,9;43,4;6,304667879;18,8;0,764758206686953
Minnesota;Nicollet;453,5494221;133,3;35,65;5,329918283;13,1;1,23433003007268
Georgia;Irwin;434,9;192,8;38,65;5,602094241;27,6;3,38356841080222
Missouri;Bollinger;468,7;190,4;42,75;7,020802377;23,3;0,21736450233176
Kansas;Cloud;453,5494221;178,6;42,8;7,08200213;14,7;0,356492894768788
California;Fresno;412,6;152,8;31,4;6,004383506;30,8;1,80321784013978
Missouri;Grundy;444,5;209,2;41,25;7,829010567;17,3;0,598304909819099
Illinois;De;512,9;195,5;42,8;8,025966362;17,7;0,405709159658495
Tennessee;Dyer;408;185,6;40,6;6,483677849;21,9;2,66334533701904
Kentucky;Edmonson;490,6;202,5;42,5;2,563121653;22,7;0,90440709999431
South Dakota;Clark;429,4;138,4;44,8;6,386292835;14,4;0,675755437655094
Virginia;Amherst;427,4;183,9;43,55;5,278870946;18;2,96491512108679
Virginia;Williamsburg;1014,2;162,1;24,6;2,181467181;8,9;2,78976615181582
Iowa;Clayton;456,7;168,3;45,5;5,962622367;15,5;0,658695488446829
Illinois;Ogle;433,2;168;41,6;5,772258177;15,5;0,756940510361409
Florida;Union;1206,9;362,8;39,6;3,739774055;22,5;3,11758399642104
New York;Onondaga;525,9;180,4;38,75;4,874120242;17,7;2,49022307585072
Illinois;Adams;467,4;167,4;40,75;5,866611774;20,6;1,56548108696169
Utah;Uintah;365,5;133,2;29,65;9,686539644;10,2;0,467680869977844
Indiana;Allen;435,7;170,7;35,6;6,597186511;17,6;2,53156444445365
South Dakota;Hand;348,6;130,6;49,35;3,64298725;9,9;0
Iowa;Jones;445,7;154;43,35;5,726980992;14,6;1,07033023249266
Tennessee;Morgan;488,7;191,1;40,95;3,724928367;24,3;1,67017804776683
Arkansas;Poinsett;480,5;247,1;40,3;7,948482061;35;2,22670896494283
Michigan;Charlevoix;483,4;167,7;46,6;4,386136675;16,7;0,281598710016998
South Dakota;Lake;439,7;155,3;42,25;4,12979351;12,4;0,48276726760002
North Dakota;McIntosh;424,9;125,9;53,9;4,662004662;10;0,282321590958521
Ohio;Allen;456,6;185;38,25;6,237398089;19,5;2,56943491995971
North Dakota;Walsh;403,7;141;45,85;5,591612581;12,8;0,219411014858776
Georgia;Toombs;467,9;201,3;35,25;4,553734062;26,5;3,28439236796134
Mississippi;Pearl;495,5;208,6;40,7;4,728190104;21,3;2,67808171992704
South Carolina;Kershaw;474;219,4;41;6,021818182;18,8;3,25327124383802
Wisconsin;Clark;455,2;157,6;37,4;9,86429301;17,6;0,33839071801551
Virginia;Montgomery;396,2;153,3;27,9;3,135414054;8,7;1,67684182902725
Oklahoma;Okfuskee;463,9;237,1;40,1;7,418397626;27,5;2,17443250895035
Maine;Hancock;491,9;165,4;47,3;5,103569855;18,1;0,3928349119214
Oklahoma;Lincoln;393,5;198,3;40,8;5,677852349;20,1;1,01809287213696
Missouri;Reynolds;394,3;181,8;46,45;6,022187005;25,9;0,887482028362205
Montana;Yellowstone;475,8;168,9;37,95;5,116068139;14,4;0,528772555028723
Georgia;Jasper;476,7;169,3;39,6;3,74722134;23,4;3,10316413619072
Missouri;Callaway;477,4;180,1;37,8;4,53252418;12,4;1,54232491238111
Massachusetts;Plymouth;517,7;176;41,95;4,322689366;17,4;2,30456276211666
Oklahoma;Carter;472;206,1;38,45;5,886681383;20,7;2,07635578149014
Kentucky;Jefferson;519,9;191,1;38,05;5,584172261;17,9;3,07900302026805
Oklahoma;Johnston;415,2;215;40,75;5,684647303;26,6;1,05395980537846
