vin;sucreresid;ph;sulphate;volacid;alco;note
blanc;6,1;3,19;0,42;0,41;10;5
rouge;2,3;3,11;1,36;0,28;9,8;7
blanc;3,5;3,02;0,39;0,3;9,1;6
blanc;5,9;3,2;0,43;0,15;11,9;6
blanc;1,4;3,14;0,46;0,34;9,9;5
rouge;1,5;3,5;0,48;1,13;9,8;4
rouge;1,7;3,41;0,65;0,4;9,5;6
rouge;4,2;3,45;0,68;0,76;11,5;6
rouge;6,6;3,22;0,68;0,9;9,3;5
rouge;2,6;3,15;0,65;0,35;11;8
blanc;6,8;3,49;0,64;0,3;10,2;6
blanc;1,7;3,25;0,59;0,29;10,4;6
blanc;1,9;3,29;0,55;0,41;11,2;6
rouge;1,4;3,19;0,55;0,34;11,4;7
blanc;0,9;3,25;0,43;0,14;10,9;6
blanc;11,8;3,2;0,35;0,2;10,8;5
blanc;7,4;3,53;0,71;0,38;9,2;4
blanc;4,6;3,72;0,7;0,21;10;4
blanc;5,1;3,36;0,33;0,23;10,1;7
rouge;4,3;3,3;0,68;0,47;12,7;6
rouge;2,1;3,59;0,61;0,785;10;4
blanc;18,15;3,3;0,36;0,21;8,7;5
blanc;11,3;3,14;0,56;0,51;9,5;6
blanc;14,3;2,91;0,46;0,16;9,2;6
rouge;1,6;3,55;0,51;0,6;12,1;5
blanc;4,3;3,16;0,39;0,28;10,2;5
blanc;1,1;3;0,68;0,18;10,4;7
rouge;2,4;3,27;0,73;0,665;9,3;5
blanc;8;3,13;0,5;0,26;9,6;5
rouge;2,8;3,26;0,51;0,61;9,3;4
rouge;2,5;3,26;0,86;0,31;10,7;6
blanc;2,1;2,97;0,48;0,34;12,2;7
rouge;3,2;3,26;0,57;0,57;9,3;5
rouge;2,2;3,23;0,49;0,23;9,3;4
blanc;18,35;3,17;0,39;0,26;8,8;5
blanc;1,7;3,17;0,66;0,3;10,9;5
blanc;1,7;3,02;0,78;0,16;12,5;6
blanc;2;3,28;0,61;0,2;10,2;6
rouge;2,5;3,3;0,58;0,41;11,2;5
rouge;2,2;3,18;0,69;0,44;11,9;6
blanc;6,2;3,21;0,35;0,46;12,2;7
rouge;2,4;3,09;0,57;0,63;9,4;5
blanc;12,9;3,2;0,35;0,12;9,9;6
rouge;1,4;3,16;0,51;0,27;11,8;6
rouge;5,2;3,16;0,52;0,785;9,56666666666667;6
rouge;1,6;3,17;0,91;0,43;9,5;5
blanc;4;3,25;0,53;0,39;13;7
blanc;4;3,26;0,54;0,46;13;6
blanc;8,2;3,17;0,33;0,28;10,2;5
rouge;2,2;3,27;1,01;0,29;12,4;7
blanc;15;3,14;0,5;0,29;9,2;5
rouge;2;3,34;0,64;0,51;9,5;6
rouge;2,5;3,15;0,43;0,35;9,4;5
blanc;12,9;3,08;0,49;0,4;9,4;5
rouge;1,9;3,39;0,61;0,39;9;5
blanc;1,8;3,29;0,52;0,3;12,8;6
blanc;12,3;3,1;0,67;0,24;9,4;5
rouge;1,5;3,47;0,73;0,36;10,9;6
rouge;1,7;3,2;0,89;0,28;9,4;6
rouge;2;3,26;0,84;0,3;11,7;7
rouge;2,1;3,34;0,71;0,16;11,2;6
rouge;2,1;3,32;0,62;0,44;9,3;5
rouge;2,5;3,53;0,81;0,2;10,4;6
rouge;2,2;3,41;0,59;0,55;10,1;5
blanc;1,3;3,11;0,46;0,31;9,8;5
blanc;2,4;3,6;0,46;0,18;10,3;5
rouge;5,6;3,58;0,5;0,88;11,2;4
blanc;1,7;3,11;0,43;0,26;9,9;5
blanc;13,7;2,9;0,44;0,16;8,7;7
blanc;1,5;2,99;0,61;0,26;9,8;6
blanc;13,65;3;0,6;0,38;9,5;6
rouge;1,7;3,36;0,54;0,51;10,5;6
rouge;2,5;3,32;0,6;0,7;9;6
blanc;14,3;2,89;0,38;0,22;9;6
rouge;3,2;3,05;0,81;0,34;9,5;6
blanc;1;3,37;0,34;0,35;11,4;5
blanc;7,6;3,08;0,59;0,28;12,5;8
blanc;1,6;3,57;0,52;0,11;12,2;6
blanc;15,6;3,19;0,49;0,34;9,3;5
blanc;6,1;3,19;0,34;0,24;12,4;6
rouge;1,8;3,46;0,78;0,39;9,9;5
rouge;2;3,44;0,64;0,63;10,9;6
blanc;8;3,28;0,44;0,18;8,7;7
blanc;1,2;3,01;0,55;0,34;10,4;5
rouge;2,7;3,12;1,02;0,31;10,6;7
rouge;1,5;3,26;0,82;0,35;10,6;7
blanc;4,25;3,26;0,47;0,44;11,3;7
rouge;2,8;3,28;0,7;0,59;9,5;6
rouge;4,7;3,38;0,66;0,34;11,6;7
rouge;2,7;3,13;0,51;0,39;9,5;5
rouge;1,7;3,39;0,6;0,46;10,6;6
blanc;4,6;2,92;0,74;0,33;12,2;6
blanc;6,5;2,96;0,37;0,34;12,5;6
rouge;2;3,61;0,64;0,54;9,8;5
rouge;2,4;3,13;0,58;0,38;11,9;7
blanc;8,5;3,04;0,37;0,18;10,1;7
rouge;2,1;3,68;0,73;0,915;11,4;5
blanc;10,9;3,52;0,77;0,19;10,4;6
blanc;1,2;3,19;0,54;0,33;10,5;6
rouge;2,2;3,18;0,63;0,59;10,2;6
blanc;9,2;3,31;0,38;0,26;9,4;5
rouge;2;3,45;0,78;0,55;9,5;6
blanc;3;3,26;0,47;0,25;10,4;6
rouge;1,65;3,47;0,53;0,69;12,9;6
blanc;17,3;3,08;0,46;0,22;8,8;6
rouge;6,4;3,27;0,58;0,37;11;5
rouge;2,5;3,22;0,59;0,31;12,5;7
rouge;2;3,38;0,59;0,645;9,8;6
blanc;8,1;3,13;0,45;0,32;8,9;5
rouge;1,6;3,58;0,66;0,63;9,8;5
blanc;2;3,32;0,49;0,16;10,7;6
blanc;11,3;3,08;0,53;0,24;9,9;6
blanc;1,5;3,21;0,52;0,24;9,3;6
rouge;2,1;3,29;0,56;0,6;9,8;6
rouge;1,9;2,98;0,66;0,28;9,9;7
blanc;1,5;3,34;0,58;0,18;10,1;6
rouge;6,2;3,11;0,99;0,625;13,3;6
blanc;11,2;2,98;0,88;0,37;9,2;5
rouge;2,1;3,14;1,22;0,39;9,5;5
rouge;2;3,39;0,78;0,42;10;6
blanc;1,3;3,22;0,55;0,24;10,8;6
blanc;1,4;3,28;0,37;0,16;10,1;6
rouge;5,8;3,07;0,73;0,615;10;7
blanc;1,5;3,56;0,48;0,3;13;8
blanc;6,65;3,05;0,48;0,49;11,2;5
rouge;1,8;3,42;0,59;0,38;9,5;6
rouge;2,3;3,57;0,78;0,765;9,9;5
rouge;1,9;3,37;0,46;0,645;10,3;5
rouge;1,7;3,14;0,57;0,3;11,5;7
blanc;2;3,05;0,52;0,21;10,9;5
blanc;2,2;3,22;0,53;0,37;13,5;7
blanc;2,4;3,28;0,59;0,27;10,3;5
rouge;1,8;3,47;0,7;0,6;9,9;6
rouge;1,7;3,31;0,53;0,7;10;6
rouge;2,6;3,37;0,58;0,43;10,5;6
rouge;2;3,32;0,54;0,56;9,5;5
rouge;2,2;3,07;0,63;0,4;10,5;6
rouge;2,1;3,12;0,59;0,715;9,9;5
blanc;11,75;3,25;0,53;0,27;9,5;6
rouge;1,9;3,44;0,48;0,58;10,5;5
blanc;15,2;3,19;0,39;0,25;9,9;5
rouge;8,8;3,38;0,64;0,41;10,1;6
blanc;1,9;3,08;0,38;0,345;9,5;5
blanc;18,15;3,28;0,39;0,21;8,7;6
blanc;11,1;3,03;0,39;0,23;10,5;7
blanc;5,5;3,08;0,45;0,3;9,1;6
rouge;2,8;3,18;0,64;0,34;9,4;5
blanc;4,7;3,41;0,46;0,17;10,8;7
rouge;2,2;3,16;0,67;0,41;10,8;5
blanc;4,8;3,28;0,39;0,36;10,6;5
rouge;1,5;3,29;0,71;0,33;11;6
rouge;2,4;3,47;0,45;0,64;11;5
rouge;2,1;3,4;0,64;0,43;9,5;5
rouge;1,8;3,04;1,08;0,32;9,2;6
rouge;3,6;3,12;0,82;0,26;9,3;6
rouge;1,9;3,26;0,56;0,78;10,6;6
blanc;2,6;3,11;0,37;0,16;11,2;7
rouge;2,6;3,3;0,84;0,39;11,5;6
blanc;6,2;3,17;0,27;0,37;13,6;6
rouge;4;3,22;0,5;0,61;10;6
rouge;2,1;3,47;0,67;0,65;9,5;6
rouge;1,9;3,27;0,64;0,735;9,3;5
blanc;8;3,28;0,57;0,2;10,4;6
rouge;1,4;3,03;1,34;0,46;9,2;5
rouge;2;3,44;0,86;0,25;10,2;7
blanc;4,9;3,17;0,44;0,29;10,8;6
rouge;2,1;3,56;0,77;0,61;11,1;6
blanc;1,2;3,38;0,42;0,27;12,2;6
rouge;2,3;3,39;0,62;0,54;9,4;5
rouge;2,2;3,08;0,67;0,4;9,3;6
rouge;2,3;3,17;0,67;0,55;9,6;5
rouge;4,6;3,02;0,61;0,42;9,5;5
blanc;4,8;3,08;0,47;0,32;12,4;7
blanc;8,5;3,2;0,48;0,23;9,4;6
blanc;1,6;3,42;0,51;0,25;10,1;7
rouge;2,3;3;0,65;0,37;12,8;6
rouge;2,1;3,15;0,9;0,24;11;7
rouge;2,2;3,44;0,72;0,43;11,5;7
rouge;1,8;3,68;0,79;0,34;14;6
rouge;2;3,24;0,66;0,745;9,4;5
rouge;2,8;3,18;0,68;0,5;10,9;5
blanc;14,5;3,1;0,5;0,19;9,2;6
blanc;9,65;2,99;0,34;0,29;10,9333333333333;6
rouge;1,9;3,01;1,1;0,44;9,4;5
blanc;5,2;3,33;0,44;0,12;10,1;7
rouge;2,2;3,41;0,6;0,735;9,4;5
rouge;2,4;3,09;0,66;0,51;11,8;7
rouge;2,3;3,53;0,58;0,895;10,8;6
rouge;2,6;3,16;0,69;0,575;9;5
rouge;2,5;3,1;0,74;0,46;9,6;5
blanc;12,6;3,04;0,56;0,27;10;7
blanc;8,9;3,29;0,46;0,22;9,8;6
rouge;1,8;3,32;0,82;0,55;11,6;6
rouge;2,8;3,32;0,63;0,46;9,5;6
blanc;1,6;3,18;0,5;0,24;9,9;7
blanc;6,2;3,11;0,53;0,4;9,4;5
rouge;2;3,36;0,48;0,4;9,4;6
blanc;7,1;3,14;0,41;0,29;10,8;6
rouge;1,5;3,4;0,58;0,5;9,8;6
rouge;3,4;3,3;0,65;0,56;10,1;5
blanc;14,9;3,04;0,54;0,23;9;6
rouge;2,8;3,1;0,61;0,39;10,8;6
blanc;10,2;3,11;0,45;0,18;10,9;7
blanc;2,1;3,33;0,64;0,23;10,7;8
rouge;2,7;3,19;0,7;0,685;10,1;6
blanc;7,1;3,35;0,47;0,23;12,1;8
rouge;3,8;3,24;0,45;0,75;9,3;5
blanc;15,7;3,25;0,76;0,21;9,4;5
blanc;11,5;3,22;0,32;0,32;9;5
rouge;3,1;3,15;0,85;0,43;10,4;7
rouge;3;3,23;0,59;0,58;9,5;5
rouge;2,1;3,26;0,47;0,915;10;4
blanc;11,8;2,86;0,47;0,35;9;5
rouge;4,1;3,06;0,66;0,44;13,4;6
blanc;2;3,3;0,59;0,16;10,5;6
blanc;4,6;3,14;0,5;0,32;9,1;3
blanc;7,5;3,12;0,47;0,27;9;5
blanc;4,6;3,27;0,34;0,36;12,6;7
rouge;2;3,15;0,69;0,27;11,2;6
rouge;2,1;2,98;0,7;0,315;9,2;6
blanc;10;2,95;0,46;0,21;8,9;5
blanc;13,3;3,06;0,49;0,36;8,6;4
rouge;2,2;3,52;0,76;0,55;11,2;6
rouge;3,9;3,17;0,93;0,62;9,2;5
rouge;2;3,39;0,57;0,735;9,8;5
rouge;2,3;3,1;0,55;0,765;9,4;5
blanc;1,6;3,51;0,38;0,33;12,5;7
rouge;1,5;3,18;0,89;0,33;11,1;7
rouge;1,4;3,56;0,82;0,85;12,9;8
blanc;7,3;3,13;0,59;0,16;10,5;6
blanc;1,2;3,42;0,4;0,26;11;7
blanc;8,1;3,22;0,36;0,33;12,7;7
rouge;1,9;3,46;0,53;0,605;11,8;6
blanc;10,8;3,18;0,37;0,27;11,2;6
blanc;1,3;3,52;0,66;0,18;10,6;6
blanc;1,1;3,22;0,41;0,16;11;6
blanc;2,5;3,16;0,37;0,17;11,1;7
blanc;1,4;3,33;0,64;0,16;11,5;7
rouge;2,4;3,22;0,63;0,29;11,8;6
blanc;17,5;3,24;0,42;0,22;9;6
rouge;1,6;3,29;0,6;0,66;9,3;5
rouge;1,9;3,26;0,86;0,53;9,2;5
blanc;6,6;3,16;0,34;0,27;10,1;6
blanc;1,6;3,27;0,67;0,41;10,8;6
rouge;2,4;3,22;0,65;0,38;11,6;7
rouge;1,8;3,3;0,75;0,39;9,8;6
blanc;6;3,16;0,39;0,34;12;7
rouge;1,9;3,3;0,53;0,61;9,8;5
blanc;3,9;3,54;0,59;0,27;10,3;5
blanc;16,1;3,15;0,5;0,27;9,3;5
rouge;3,4;3,27;0,61;0,54;9,4;5
rouge;2,3;3,24;0,54;0,715;9,5;6
blanc;6,8;3,01;0,38;0,22;10,5;8
blanc;8,9;3,4;0,46;0,28;9,3;5
blanc;13,5;3;0,63;0,19;10,7;6
blanc;3,85;3,01;0,36;0,34;11,8;4
blanc;11,6;3,07;0,53;0,39;9,3;5
blanc;8,4;3,15;0,55;0,25;9,4;6
blanc;11,9;3,01;0,46;0,28;10,8;4
blanc;6,6;3,14;0,41;0,34;9,6;5
rouge;3,9;3,41;0,52;0,68;11,1;4
blanc;6,4;3,14;0,48;0,3;9,8;5
blanc;6,1;3,48;0,57;0,34;10,7;6
rouge;2;3,26;0,52;0,56;9,9;5
blanc;0,9;3,16;0,62;0,23;9,7;5
blanc;1,3;3,47;0,46;0,335;10,5;5
blanc;2,1;3,42;0,48;0,33;10,5;4
blanc;14,2;2,98;0,48;0,23;9;7
rouge;2,9;3,29;0,6;0,47;9,8;5
rouge;1,6;3,38;0,58;0,71;10;6
rouge;1,7;3,09;1,06;0,48;9,1;6
blanc;4;3,26;0,64;0,33;12,6;7
blanc;14,3;2,91;0,46;0,16;9,2;6
blanc;6,5;3,4;0,42;0,35;11,4;7
rouge;2,4;3,37;0,58;0,64;11;5
rouge;1,7;3,3;0,57;1,07;9;5
blanc;9,7;3,12;0,36;0,17;9,2;6
blanc;12,8;3,14;0,49;0,19;9,1;7
rouge;1,6;3,7;0,75;0,38;14;6
blanc;16,8;3,25;0,57;0,33;9,4;6
rouge;1,5;3,66;0,62;0,62;10,1;4
rouge;2,1;3,4;0,64;0,43;9,5;5
rouge;2,4;3,2;0,71;0,54;11,4;6
blanc;1,3;3,61;0,55;0,16;10,3;6
blanc;8,9;3,1;0,48;0,33;9,6;5
blanc;3,1;3,12;0,35;0,56;9,1;6
blanc;8,2;3,01;0,34;0,31;13;7
rouge;4,1;3,53;0,72;0,84;9,25;6
blanc;12,7;3,3;0,79;0,28;9,6;6
rouge;2,1;3,3;0,53;0,39;13,3;6
blanc;10;3,12;0,36;0,33;11,6;6
rouge;2,2;3,26;0,66;0,48;11,7;6
blanc;2;3,18;0,49;0,19;9,6;6
blanc;2,6;3,09;0,51;0,51;10;5
rouge;1,9;3,46;0,65;0,615;9,2;5
rouge;1,9;3,57;0,62;0,37;9,8;6
blanc;9,1;3,12;0,36;0,42;10,1;6
rouge;2,1;3,26;0,56;0,27;11,3;6
blanc;7,1;3,2;0,53;0,26;9,5;6
rouge;1,9;3,18;1,04;0,26;10,9;7
rouge;2,6;3,37;0,56;0,78;11,3;5
rouge;2,6;3,15;0,5;0,59;9,1;5
blanc;1;3,06;0,41;0,29;9,5;5
rouge;1,8;3,35;0,69;0,42;11,7;8
blanc;1,1;3,13;0,72;0,13;11,2;7
blanc;9,3;3,02;0,33;0,24;10,6;6
rouge;2,2;3,53;0,65;0,79;10,4;6
blanc;7;3,19;0,7;0,25;10,4;5
rouge;2,3;3,67;0,8;0,65;9,7;5
rouge;1,8;3,04;0,79;0,28;10,2;6
blanc;4,6;3,18;0,4;0,33;11;6
blanc;2,2;3,13;0,38;0,3;11,6;6
blanc;15,5;3,16;0,41;0,13;9,7;7
blanc;6,65;2,9;0,37;0,31;11,1;5
rouge;5,1;3,26;0,77;0,63;9,4;5
rouge;2;3,14;0,79;0,44;11,1;7
rouge;3;3,16;1;0,49;11,5;6
rouge;1,8;3,21;1,05;0,24;10,8;7
blanc;1,4;3,19;0,45;0,3;9,5;5
blanc;1,4;3,13;0,47;0,46;8,8;5
blanc;1,5;3,32;0,64;0,19;9,4;6
rouge;6,2;3,24;0,77;0,41;12,6;7
blanc;6,5;3,19;0,45;0,32;9,6;5
rouge;2,1;3,34;0,52;0,64;10,2;5
blanc;2,8;3,24;0,35;0,41;9,5;5
blanc;1,6;3,25;0,45;0,24;10,5;5
rouge;2,3;3,63;0,63;0,5;13;5
rouge;3,6;3,35;0,86;0,35;12,8;8
rouge;1,8;3,46;0,68;0,57;9,5;5
rouge;1,8;3,21;0,71;0,69;9,3;5
blanc;9,3;3,21;0,39;0,13;9,6;5
blanc;11,4;3,08;0,54;0,285;8,9;6
blanc;12,2;3,01;0,54;0,24;8,8;5
rouge;2,6;3,39;0,49;0,705;9,7;5
rouge;2,3;3,44;0,54;0,67;9,4;5
rouge;2,8;3,21;0,56;0,34;12;6
blanc;12,1;3,31;0,58;0,42;9,7;5
rouge;2,3;3,52;0,57;1,04;11;4
blanc;1,3;3,42;0,5;0,26;10,1;6
rouge;1,8;3,44;0,6;0,65;9,1;5
blanc;14,9;3,08;0,31;0,32;10;6
blanc;1;3,44;0,44;0,24;11,45;6
rouge;3,4;3,28;0,62;0,56;9,4;5
blanc;10,8;3,09;0,59;0,29;11;7
rouge;1,8;3,35;0,54;0,6;10,1;5
rouge;5,5;3,42;0,71;0,43;10,5;5
rouge;1,9;3,16;0,7;0,62;9,4;5
rouge;1,5;3,35;0,78;0,5;9,5;5
rouge;5,1;3,32;0,64;0,65;10,4;6
rouge;2,1;3,38;0,72;0,27;10,6;6
rouge;2,2;3,15;0,66;0,6;9,8;5
blanc;16;3,21;0,6;0,2;9,2;6
blanc;13,9;3,36;0,5;0,27;12;7
rouge;3,6;3,39;0,66;0,31;11;6
rouge;2,3;3,36;0,58;0,64;10,4;6
rouge;1,7;3,39;0,54;0,29;13,5;6
blanc;1,5;3,23;0,42;0,21;10,1;6
rouge;2,1;3,39;0,64;0,5;9,4;6
blanc;11,3;3,11;0,4;0,23;10,8;5
blanc;14,7;3,03;0,53;0,35;10,3;5
blanc;9,2;3,06;0,34;0,22;12,5;8
blanc;1,2;3,13;0,36;0,3;9,2;5
blanc;2,7;3,24;0,48;0,35;13;7
blanc;14;3,03;0,57;0,25;8,7;6
rouge;2,1;3,23;0,56;0,735;10,1;6
blanc;1,7;3,17;0,46;0,23;10,7;7
blanc;16,65;3,24;0,48;0,22;9;6
rouge;2,5;3,06;0,72;0,66;11;6
blanc;8,3;3,16;0,72;0,38;10,6;5
blanc;8,3;3,53;0,51;0,55;12,5;8
rouge;3,9;3,32;0,48;0,57;9,2;5
blanc;1,5;3,15;0,52;0,2;10,8;5
rouge;1,8;3,33;0,6;0,56;10,5;6
rouge;2,5;3,4;0,78;0,26;11,3;7
rouge;1,9;3,21;0,54;0,23;12,3;6
rouge;1,6;3,34;0,58;0,4;9,4;5
blanc;6,6;3,12;0,28;0,73;11,1;4
blanc;6,3;3,18;0,44;0,34;9,6;5
blanc;13,6;2,96;0,39;0,36;8,7;5
rouge;2,2;3,19;0,44;0,5;9,6;5
rouge;2,5;3,29;0,62;0,69;10,1;5
blanc;1,6;3,09;0,5;0,3;9,8;5
rouge;2,5;3,27;0,78;0,66;12,8;6
blanc;2,6;3,4;0,67;0,34;12,2;7
blanc;13,7;3,22;0,75;0,25;8,9;5
blanc;1,5;3,03;0,41;0,28;12,1;6
rouge;5,8;3,14;0,55;0,74;9,4;5
blanc;2,7;3,2;0,53;0,53;13,2;8
rouge;2;3,15;0,73;0,32;11,4;6
rouge;2,3;3,46;0,63;0,59;9,5;5
rouge;2,5;3,34;0,86;0,52;10,6;7
blanc;7,9;3,05;0,46;0,4;13,3;7
rouge;2,1;3,26;0,5;0,965;9,5;5
blanc;2,2;3,19;0,48;0,22;10,5;6
rouge;2,2;3,25;1,18;0,54;10,5;6
rouge;6,55;3,17;0,85;0,44;12;7
blanc;8,7;3,38;0,53;0,28;10,5;6
blanc;1,1;2,9;0,5;0,19;10,5;6
rouge;4,3;3,49;0,66;0,4;13,6;6
blanc;2,4;3,63;0,73;0,26;11,3;5
rouge;2,4;3,23;0,64;0,43;9,5;5
blanc;1,1;3,17;0,55;0,105;10,7;7
blanc;2;3,21;0,39;0,23;10,2;6
blanc;4,2;3,12;0,39;0,26;11,5;6
rouge;2,3;3,38;0,6;0,57;10,3;6
blanc;5,7;3,17;0,64;0,33;12,5;6
rouge;2,2;3,18;0,51;0,775;9,6;5
blanc;3,5;3,2;0,44;0,3;11,7;6
rouge;1,8;3,23;0,77;0,715;9,5;5
blanc;1,6;3,19;0,38;0,28;10,2;6
blanc;1,4;3,22;0,38;0,32;9,5;4
blanc;1,4;3,27;0,54;0,14;11,2;6
blanc;8,9;3,22;0,6;0,47;9,2;5
blanc;11,1;3,15;0,34;0,33;10,5;6
blanc;4,7;3,29;0,62;0,34;12,3;6
rouge;2;3,25;0,42;0,655;9,6;5
rouge;1,6;3,15;0,65;0,38;8,5;5
blanc;2,5;3,04;0,58;0,15;12,6;6
blanc;7,5;3,32;0,43;0,31;10;5
blanc;1,3;3,04;0,46;0,27;9,2;6
rouge;1,9;3,36;0,67;0,21;10,4;5
blanc;1,6;3,32;0,59;0,18;11,5;8
blanc;6,6;2,98;0,39;0,43;13,3;7
rouge;2;3,28;0,9;0,28;11,3;7
blanc;4,5;2,86;0,35;0,48;9;5
blanc;1,7;3,07;0,46;0,32;12,5;6
rouge;1,7;3,46;0,62;0,36;9,5;6
rouge;2;3,21;0,52;0,6;9,9;5
rouge;2;3,18;0,62;0,46;9,5;5
rouge;2,5;3,51;0,53;0,62;9,7;5
rouge;1,8;3,34;0,54;0,69;9,2;6
rouge;1,7;3,72;0,58;0,54;11,4;5
blanc;1;3,1;0,45;0,36;9,7;5
blanc;1,8;2,91;0,57;0,17;12;7
blanc;7,75;3,22;0,46;0,28;11;6
blanc;2,6;3,39;0,79;0,29;14;7
rouge;2,3;3,53;0,57;0,66;9,7;5
blanc;6,7;3,15;0,52;0,16;10,8;6
blanc;12,1;3,05;0,5;0,44;9,5;5
blanc;1,1;2,89;0,5;0,26;10,6;5
blanc;3;3,18;0,43;0,24;12,2;6
blanc;11,4;2,96;0,51;0,23;9,7;6
blanc;7,5;3,14;0,41;0,32;8,9;5
blanc;1,2;3,1;0,48;0,24;10,6;6
rouge;2,3;3,32;0,67;0,31;9,7;6
blanc;10,6;3,4;0,34;0,26;10,7;7
blanc;9,9;3,04;0,42;0,39;10,9;6
blanc;9,9;3,12;0,49;0,32;10,2;6
rouge;2,8;3,31;0,55;0,68;9,5;6
blanc;3,3;3,33;0,63;0,32;12,6;7
rouge;2,6;3,1;0,61;0,48;10,5;6
rouge;1,4;3,32;0,81;0,52;9,6;6
rouge;2,2;3,25;0,73;0,935;9,2;5
rouge;1,9;3,39;0,61;0,54;10;6
rouge;1,9;3,3;0,64;0,38;11,4;6
rouge;2,1;3,26;0,62;0,28;12,4;7
rouge;2,6;3,46;0,5;0,52;11;5
blanc;1,7;3,21;0,44;0,17;11,5;7
rouge;7,3;3,37;0,49;0,6;9,4;5
blanc;1,5;3,2;0,46;0,25;12,2;6
blanc;3,2;3,22;0,54;0,4;12,7;7
rouge;1,6;3,27;0,62;0,56;9,3;5
blanc;5,1;3,34;0,49;0,21;10,4;6
blanc;7,4;3,04;0,47;0,28;11,4;8
rouge;2,4;3,19;0,62;0,41;9,5;6
blanc;13,9;2,99;0,8;0,37;9,3;5
rouge;2,8;3,3;0,76;0,33;12,8;7
rouge;2,6;3,36;0,86;0,785;9,4;6
blanc;9,8;3,16;0,38;0,16;10;6
rouge;2,3;3,52;0,56;0,84;12,3;7
blanc;7,5;3,11;0,27;0,23;11,4;6
rouge;2,1;3,29;0,51;0,575;9,2;5
blanc;2,8;3,31;0,63;0,3;11,3;7
blanc;1,1;2,97;0,35;0,2;10,4;5
rouge;2,3;3,17;0,53;0,27;12,5;6
rouge;1,9;3,27;0,54;0,34;11,2;7
rouge;2,2;3,54;0,88;0,47;13,5666666666667;7
rouge;4,1;3,36;0,53;0,82;9,6;5
blanc;7;3,14;0,42;0,39;10,5;5
blanc;8,55;3,19;0,22;0,21;13,4;7
blanc;10,3;3,17;0,52;0,25;9,1;6
rouge;1,7;3,36;0,54;0,51;10,5;6
blanc;6,9;3,26;0,44;0,28;10,1;6
rouge;1,8;3,49;0,68;0,55;10,5;5
rouge;1,8;3,32;0,56;0,58;10,5;7
blanc;3,9;3,35;0,44;0,28;10,7;7
rouge;2;3,18;0,51;0,37;9,5;5
rouge;2,4;3,35;0,6;0,69;9,3;5
rouge;2,4;3,36;0,53;0,82;10;5
rouge;1,4;3,45;0,48;0,47;12,3;6
rouge;8,3;3,44;0,55;0,39;12,1;6
rouge;2,4;3,09;0,66;0,51;11,8;7
blanc;4,5;3,43;0,49;0,17;10,9;6
blanc;1,3;3,29;0,54;0,3;9,9;4
blanc;11,5;3,22;0,56;0,28;9,5;5
blanc;1,3;3,05;0,59;0,255;12,9;7
blanc;1,8;3,32;0,4;0,23;10,8;6
rouge;2,4;3,41;0,54;0,39;9,4;6
rouge;2,2;3,3;0,65;0,47;9,6;6
rouge;2,7;3,29;0,48;0,49;9,2;6
blanc;13,1;3,05;0,53;0,24;9,1;6
rouge;2,6;3,35;0,83;0,795;9,4;6
blanc;14,2;3,14;0,46;0,2;8,9;8
blanc;3,3;3,17;0,36;0,29;12,8;7
blanc;1,2;3,46;0,44;0,44;11,5;5
blanc;8,15;3,06;0,27;0,36;13;7
rouge;2,1;3,9;0,56;0,52;13,1;4
blanc;1,8;3,37;0,48;0,21;11,2;6
blanc;11,7;3,02;0,34;0,32;11,8;6
rouge;1,7;3,38;0,6;0,25;11,9;6
rouge;3,2;3,37;0,71;0,66;11,5;7
blanc;1,4;3,39;0,77;0,22;10,6;6
rouge;1,8;3,5;0,82;0,49;14;8
rouge;1,6;3,38;0,86;0,47;9,9;4
blanc;4,8;3,21;0,48;0,33;9,4;5
rouge;2;3,28;0,52;0,59;9,9;5
rouge;1,7;3,31;0,62;0,78;10,7;6
rouge;2;3,36;0,57;0,5;9,1;5
blanc;15,7;3,25;0,76;0,21;9,4;5
blanc;5,7;3,28;0,6;0,32;12;7
